"age","job","civil","edu","credit","hloan","ploan","ctype","month","day","ccontact","lcdays","pcontact","presult","employment","cprice","cconf","euri3","employees","outcome"
39,"management","single","university","unknown","no","no","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
32,"admin.","married","university","no","no","no","telephone","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.592,5195.8,"no"
29,"admin.","single","9K","no","no","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
44,"services","married","apprenticeship","no","no","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
32,"services","married","12K","no","no","yes","cellular","jul","fri",3,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
56,"retired","married","university","no","yes","no","cellular","jun","wed",1,999,2,"failure",-2.9,92.963,-40.8,1.26,5076.2,"no"
33,"artisan","married","9K","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
39,"management","married","12K","no","no","no","cellular","aug","fri",3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
24,"technician","married","university","no","yes","yes","cellular","sep","tue",2,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"yes"
33,"admin.","single","university","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
58,"entrepreneur","divorced","university","no","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
29,"admin.","single","university","no","yes","no","telephone","jun","fri",27,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
31,"admin.","married","university","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
27,"admin.","married","university","no","no","no","telephone","may","wed",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
60,"admin.","divorced","apprenticeship","no","yes","no","cellular","sep","wed",1,999,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"yes"
55,"entrepreneur","married","apprenticeship","no","yes","yes","cellular","oct","mon",1,999,2,"failure",-3.4,92.431,-26.9,0.739,5017.5,"no"
37,"artisan","married","9K","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
52,"admin.","married","unknown","no","yes","no","telephone","apr","wed",1,6,1,"success",-1.8,93.749,-34.6,0.654,5008.7,"yes"
46,"services","married","12K","no","yes","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
42,"artisan","divorced","6K","no","yes","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
35,"admin.","single","university","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
49,"technician","divorced","unknown","no","yes","yes","cellular","oct","thu",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.754,5017.5,"no"
29,"services","divorced","12K","no","no","yes","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
32,"artisan","married","9K","no","no","no","cellular","nov","mon",2,5,1,"success",-0.1,93.2,-42,4.191,5195.8,"yes"
37,"selfemployed","married","university","no","no","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
39,"technician","single","apprenticeship","unknown","no","no","telephone","jun","mon",4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes"
51,"services","married","12K","unknown","yes","no","telephone","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
28,"admin.","single","12K","no","yes","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
34,"management","married","university","no","yes","no","cellular","may","wed",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
31,"technician","single","12K","no","yes","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
31,"admin.","married","university","no","yes","no","cellular","aug","thu",5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
31,"admin.","single","university","no","yes","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
38,"selfemployed","single","university","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
33,"unemployed","married","9K","no","no","no","telephone","jun","fri",6,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
32,"technician","single","university","no","no","no","cellular","aug","tue",12,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
54,"technician","married","apprenticeship","unknown","yes","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
41,"admin.","divorced","12K","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
59,"services","married","4K","unknown","no","no","cellular","aug","thu",7,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
57,"retired","married","university","no","yes","no","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"no"
38,"entrepreneur","divorced","university","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
46,"admin.","married","university","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
37,"unemployed","single","university","no","yes","yes","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
47,"services","single","9K","no","unknown","unknown","telephone","jun","thu",3,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"yes"
45,"admin.","single","university","no","no","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes"
36,"artisan","married","6K","no","yes","no","telephone","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
40,"unemployed","single","12K","no","yes","no","cellular","jul","mon",5,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
38,"artisan","married","9K","no","no","no","cellular","nov","tue",2,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
44,"artisan","married","12K","unknown","no","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
25,"selfemployed","married","university","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"artisan","single","6K","no","yes","no","telephone","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
43,"management","married","apprenticeship","no","no","no","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
58,"retired","married","6K","unknown","no","no","telephone","may","mon",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
31,"technician","married","apprenticeship","no","yes","no","telephone","may","wed",6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
53,"management","married","university","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
52,"admin.","married","unknown","no","no","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
37,"management","married","university","unknown","no","yes","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
58,"admin.","married","12K","unknown","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
37,"services","married","12K","no","yes","yes","cellular","may","thu",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
38,"admin.","single","unknown","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
33,"services","single","9K","no","yes","no","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
45,"services","married","12K","unknown","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
44,"entrepreneur","married","apprenticeship","no","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
38,"artisan","married","6K","no","yes","no","telephone","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,"no"
34,"artisan","married","9K","no","no","no","telephone","jun","tue",1,999,0,"nonexistent",-1.7,94.055,-39.8,0.702,4991.6,"no"
47,"management","married","university","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"no"
59,"admin.","married","university","no","yes","yes","cellular","jul","wed",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.085,5076.2,"no"
51,"artisan","married","4K","unknown","yes","yes","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
31,"artisan","married","6K","no","yes","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
56,"management","married","university","no","yes","yes","cellular","nov","wed",1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
39,"admin.","married","university","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
41,"entrepreneur","married","university","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes"
41,"management","divorced","6K","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
53,"services","married","12K","unknown","no","no","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
35,"artisan","married","12K","no","no","yes","cellular","jul","mon",4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
58,"retired","married","9K","no","no","yes","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
25,"selfemployed","married","apprenticeship","no","yes","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
35,"artisan","divorced","9K","no","yes","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no"
28,"services","single","12K","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
55,"artisan","married","apprenticeship","no","yes","yes","cellular","may","fri",3,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
54,"entrepreneur","married","4K","unknown","no","yes","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
45,"technician","divorced","9K","unknown","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
32,"artisan","married","9K","no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no"
50,"admin.","married","9K","unknown","yes","no","cellular","aug","thu",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
75,"retired","married","4K","no","no","no","cellular","apr","tue",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes"
33,"selfemployed","divorced","unknown","no","no","no","telephone","may","wed",4,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
29,"management","married","university","no","no","yes","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
45,"management","married","university","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
38,"admin.","divorced","university","no","no","no","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.392,5099.1,"yes"
24,"services","single","apprenticeship","no","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
41,"technician","married","apprenticeship","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
58,"retired","divorced","12K","no","yes","no","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,"yes"
34,"admin.","married","university","no","no","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"admin.","married","university","no","no","no","cellular","nov","mon",2,999,0,"nonexistent",-1.1,94.767,-50.8,1.05,4963.6,"no"
37,"technician","divorced","apprenticeship","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
53,"artisan","divorced","4K","no","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes"
54,"technician","divorced","apprenticeship","no","yes","yes","cellular","jul","tue",14,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
32,"technician","divorced","apprenticeship","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
42,"admin.","married","12K","no","yes","no","cellular","jul","fri",6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
28,"technician","single","apprenticeship","no","yes","no","cellular","aug","thu",2,3,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"yes"
33,"services","single","12K","no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
41,"artisan","married","9K","no","yes","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
31,"services","married","12K","no","no","yes","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
40,"technician","married","9K","unknown","no","yes","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
53,"unknown","married","9K","no","no","yes","cellular","nov","wed",1,999,1,"failure",-3.4,92.649,-30.1,0.716,5017.5,"no"
40,"admin.","divorced","university","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
82,"housemaid","married","4K","no","no","no","telephone","sep","tue",3,3,2,"success",-1.1,94.199,-37.5,0.877,4963.6,"yes"
28,"artisan","married","4K","no","yes","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
30,"admin.","married","12K","unknown","yes","no","cellular","nov","wed",3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
31,"unemployed","single","university","no","yes","no","cellular","jul","tue",1,6,3,"success",-1.7,94.215,-40.3,0.835,4991.6,"yes"
32,"technician","single","university","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
54,"artisan","married","4K","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
31,"artisan","married","9K","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
50,"services","married","unknown","no","yes","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
47,"technician","single","unknown","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
31,"admin.","single","12K","no","yes","yes","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
32,"unemployed","married","12K","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
46,"admin.","single","12K","no","yes","no","cellular","nov","mon",2,999,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no"
47,"admin.","single","12K","no","no","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
32,"admin.","single","12K","no","no","no","cellular","nov","mon",2,999,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no"
52,"services","divorced","12K","unknown","no","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
45,"admin.","married","12K","no","yes","no","cellular","oct","fri",3,6,1,"success",-1.1,94.601,-49.5,1.029,4963.6,"yes"
32,"admin.","married","university","no","yes","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
71,"artisan","divorced","4K","unknown","no","no","cellular","aug","thu",1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,"no"
49,"services","married","12K","no","yes","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
46,"admin.","married","12K","no","yes","yes","telephone","jun","wed",10,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
46,"artisan","married","apprenticeship","no","no","no","cellular","nov","fri",1,999,0,"nonexistent",-1.1,94.767,-50.8,1.028,4963.6,"no"
38,"admin.","married","university","no","yes","no","cellular","aug","tue",6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
57,"services","married","apprenticeship","unknown","no","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
41,"services","single","12K","unknown","unknown","unknown","cellular","may","mon",2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
44,"technician","married","apprenticeship","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
47,"technician","married","university","no","yes","no","cellular","aug","wed",7,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
40,"artisan","married","9K","no","yes","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
57,"retired","single","apprenticeship","no","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
27,"admin.","single","unknown","no","no","no","cellular","mar","tue",1,3,1,"success",-1.8,93.369,-34.8,0.637,5008.7,"yes"
52,"artisan","married","9K","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
34,"management","married","university","no","yes","yes","telephone","jun","wed",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no"
42,"entrepreneur","married","university","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
51,"technician","married","unknown","no","yes","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
45,"management","married","4K","unknown","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
56,"retired","married","12K","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
41,"management","married","university","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
44,"admin.","married","12K","no","yes","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
50,"artisan","married","6K","no","yes","no","cellular","may","mon",3,3,1,"success",-1.8,92.893,-46.2,1.354,5099.1,"yes"
54,"selfemployed","married","12K","no","no","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
51,"artisan","married","6K","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
30,"artisan","single","9K","no","no","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
42,"housemaid","married","4K","unknown","yes","no","telephone","jun","fri",8,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
41,"technician","married","apprenticeship","unknown","yes","no","telephone","jun","mon",11,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
47,"services","single","9K","no","no","no","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
35,"artisan","married","6K","no","yes","no","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
58,"artisan","married","9K","no","no","no","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
50,"artisan","divorced","12K","no","yes","yes","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes"
41,"technician","married","apprenticeship","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
38,"technician","married","university","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
32,"student","single","university","no","no","no","cellular","nov","thu",2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
21,"student","single","12K","no","no","no","cellular","aug","tue",1,999,1,"failure",-2.9,92.201,-31.4,0.884,5076.2,"no"
46,"admin.","divorced","9K","unknown","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
42,"selfemployed","married","university","no","yes","no","cellular","nov","fri",3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
55,"services","married","9K","no","no","no","cellular","aug","wed",13,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
29,"admin.","single","12K","no","yes","no","telephone","nov","mon",1,6,1,"success",-1.1,94.767,-50.8,1.05,4963.6,"no"
